model_name,QF,accuracy,precision
efficientnet_b3,80,50.06,0.5061533781653863
mobilenetv2_100,80,51.71,0.5209483455240613
vgg19,80,33.55,0.3834993491767599
efficientnet_b3,80,50.68,0.515970576966282
mobilenetv2_100,80,52.08,0.5292681874194309
vgg19,80,1.0,0.0001
efficientnet_b3,80,51.6,0.5237693861279503
mobilenetv2_100,80,51.54,0.5216056745058311
vgg19,80,1.0,0.0001
efficientnet_b3,80,48.19,0.4874994492259234
mobilenetv2_100,80,51.68,0.5215261966715573
vgg19,80,1.0,0.0001
efficientnet_b3,60,45.51,0.4642624913549488
mobilenetv2_100,60,50.07,0.5046764537222616
vgg19,60,1.0,0.0001
efficientnet_b3,60,49.1,0.500825712598035
mobilenetv2_100,60,51.41,0.5178870725959804
vgg19,60,2.28,0.02137280985005547
